,Movie,Year,Time,Genre,Pick,Zach,Amin,Mayes,RT Crit,Crit #,RT Aud,Aud #,Combo,Sprd,Budget,Box Off WW,Cost,TM,Daisy Chain,Guest,P/P,Golden Dumpster,Z,A,M,Carl Weathers Memorial Ass OFF Award,Michael Biehn (Emilio Estevez) Ass ON Award,Louis Pinnock Accent Award,Five Horsemen,Rewatchingtons,"GD Nominees - Scene, Actor, Director or Moment",,,,,
1,Kangaroo Jack: G'Day USA,2004,77,Animated Action Comedy,A,Phobe,Phobe,Hero,--%,0,38%,500 +,,,,Straight to VHS,STZ,,,,,,It's Animated!,,,,,,,,,,,,,
2,Next,2007,80,Science Fiction Thriller,Z,Phile,Phobe,Phile,28%,131,53%,250k +,81%,25%,$78.1 Mil,$77.6 Mil,PRIME,8/10,,,,,The Ending?!?,"""He looks at you like my brother looks at his girlfriend"" - cut to Cage’s smug look at Jessica Biel by the waterfall",Named himself after his two favorite things: Frankenstein and Cadillacs,Nicolas Cage as Frank Cadillac,Jessica Biel as Liz Cooper,,Film Noir,#3,,,,,,
3,Land of the Lost,2009,81,Science Fiction Thriller,A,Phobe,Phile,Phile,26%,191,32%,250k +,58%,6%,$100 Mil,$68.7 Mil,$,3/10,,,,,T-Rex zoom in after delivering the huge walnut,"Latin Grammy's Joke - Holly, you should sit on this",Danny McBride super high eating the giant crab,Grumpy the T-Rex,Anna Friel as Dr. Holly Cantrell,Chaka,Oughts-Oh,#23,"Danny McBride, Cher sequence w/. Latin Grammy's joke, ",,,,,
4,Knowing,2009,82,Science Fiction Thriller,Z,Phile,Phobe,Phobe,34%,184,42%,250k +,76%,8%,$50 Mil,$183.6 Mil,SHO,5/10,,,,,googling 9/11 (Amin's rant),,,,,,,,"Nic Cage, googling 9/11 (Amin's rant), plane crash",,,,,
5,Jupiter Ascending,2015,82,Space Opera,M,Phobe,Phobe,Phile,27%,270,38%,50k +,65%,11%,$176 Mil,$183.8 Mil,HBO,2/10,,,,,Eddie Redmayne,,,,,,,,"Eddie Redmayne, The Bees, Wachowskis",,,,,
6,Never Back Down,2008,82,Martial Arts,Z,Phile,Phobe,Phobe,23%,84,34%,250k +,57%,11%,$20 Mil,$41.6 Mil,$,,,,,,Ryan's entrance to Soulja Boy Travis Barker Remix,Amin mixing up dental plan with dental dam. - 'I got your dental dam right here',,Djimon Hounsou as Jean Roqua,Amber Heard as Baja Miller,N/A,Orlando,#13,"Djimon Hounsou saying the title, Amin's theory about the dental dam, the internet in 2008, white male rage",,,,,
7,Spies Like Us,1985,83,Comedy,A,Phile,Phile,Phile,32%,25,56%,25k +,88%,24%,$22 Mil,$60 Mil,HBO,,,,,,Test Scene,,,,,,,,"Dan Aykroyd, Chevy Chase, Doctor scene, test scene, ",,,,,
8,The Wicker Man,2006,83,Mystery Drama Thriller,Z,Phile,Phobe,Phobe,15%,108,17%,50k +,32%,2%,$40 Mil,$38.8 Mil,HBO,,,,,,Nic Cage,,,,,,,,"The Bees, Nic Cage, the scene that isn't in every version",,,,,
9,White Chicks,2004,83,Comedy,M,Phobe,Phile,survivng,15%,124,55%,250k +,70%,40%,$37 Mil,$113.1 Mil,SHO,5/10,,,,,Terry Crews,,,,,,,,"Terry Crews, the atrocious make up, Wayans Bros, A Thousand Miles",,,,,
10,Mr. Magoo,1997,83,Comedy,A,Phobe,Phobe,Phobe,7%,30,24%,25k +,31%,17%,$30 Mil,$21.4 Mil,HBO,,,,,,Fast and Furious: Tokyo Dick,Greenscreen Waterfall Sequence,The Canned Vegetable King,Billy as Angus the Dog,Matt Keeslar as Waldo,Magoo as Peru’s Fiancé,20CB,#16,"Penis Car, Jennifer Garner, Leslie Nielsen, the monkey costume",,,,,
11,Swordfish,2001,84,Action Crime Thriller,Z,Phile,Phile,Phile,25%,138,59%,100k +,84%,34%,$102 Mil,$147 Mil,NF,,,,,,The Travolta spin when he gets out of the car,Skip Woods,Hugh Hackman aka Stanley Jobson clapping to get himself focused during hacking,John Travolta as Gabriel Shear,Nick Loren  as Agent who gets elbowed in the face,Axl Torvalds German as FInnish,Jargon,#11,"John Travolta, Skip Woods, Halle Berry's exposed breasts, blowjob scene, escape scene",,,,,
12,Hot Rod,2007,85,Comedy,M,Phobe,Phobe,Phile,39%,119,64%,250k +,103%,25%,$25.3 Mil,$14.3 Mil,$,,,,,,Richardson,Cooked Goose,Richardson,,,,,,"Danny McBride, Bill Hader, Will Arnett, Soundtrack, ",,,,,
13,The Heartbreak Kid,2007,85,Black Comedy,A,Phile,Phile,Phile,29%,159,37%,250k +,66%,8%,$60 Mil,$128.4 Mil,NF,,,,,,Rob Corddry standing up during the wedding speeches,"Ben Stiller lying about Yvon Chouinard, Patagonia and Six Toe (27 lies in 2 mins)",Ben Stiller Mariachi Freakout,Ben Stiller as Eddie,Spikey Haired Island Boy Twins,Flo from Progressive Mississippi Accent,Lying,#8,"Jerry Stiller, Ben Stiller for lying sequences, Jackhammer me, Danny McBride, ",,,,,
14,Hurricane Heist,2018,86,Disaster Heist Action,Z,Phile,Phobe,Phobe,47%,59,23%,500 +,70%,-24%,$35 Mil,$32.5 Mil,NF,,,,,,The Skull in the Storm,,,,,,,,"Hubcap attack, The ending, bad southern accents, the skull in the storm",,,,,
15,Gemini Man,2019,86,Action Thriller,BON,Phobe,Phobe,Phile,26%,315,83%,5k + V,109%,57%,$138 Mil,$173.4 Mil,$,7/10,,,,,Motorcycle Fight,,,,,,,,"Will Smith, Ang Lee, motorcycle fight",,,,,
16,Showgirls,1995,87,Erotic Drama,M,Phile,Phile,Phile,23%,62,37%,50k +,60%,14%,$45 Mil,$20.3 Mil,STZ,,,,,,James,,,,,,,,"Gina Gershon, James, Tony Moss, Elizabeth Berkeley, Paul Verhoeven, Joe Eszterhas",,,,,
17,Horrible Bosses 2,2014,88,Dark Comedy,A,Phile,Phile,Phile,36.00%,161,47%,50k +,83%,11%,$42 Mil,$107.6 Mil,$,9/10,,,,,Car Scene outside dentist's office - fuckin moment of silence,Kidnaping plot - with one more P it is,Southern Accents Ransom Call,Jason Bateman as Nick Hendricks,Keeley Hazell as Aluminium Girl,Southern Accent Phone Call,Banter,#1,"Sudeikis, Day and Bateman all together, Chris Pine, Jennifer Aniston, Jamie Foxx",,,,,
18,Good Luck Chuck,2007,88,Romantic Comedy,Z,Phobe,Phobe,Phobe,5%,117,57%,250k +,62%,52%,$25 Mil,$59.7 Mil,SHO,,,,,,Fat woman w/. garbage bag of donuts,,,,,,,,"Balls of Fury, Sex Montage, Dane Cook, the architect who wrote the short story",,,,,
19,Battlefield Earth,2000,88,Science Fiction,M,Phile,Phile,Phobe,3%,153,12%,50k +,15%,9%,$73 Mil,$29.7 Mil,SHO,,,,,,Our friendly bartender! *holds up decapitated head*,A female? Trying to gain leverage?,Do You Want Lunch??,John Travolta as Terl,Michael Byrne as Parson Staffer,,Film Noir,#2 Amin went from Phobe to Phile,"John Travolta, Forest Whitaker, Barry Pepper, L Ron Hubbard, Roger Christian",,,,,
20,Fred Claus,2007,88,Fantasy Comedy Adventure,A,Phile,Phile,Phobe,20%,143,45%,250k +,65%,25%,$37 Mil,$97.8 Mil,AMC,,,,,,Siblings anonymous scene,,,,,,,,"Siblings anonymous scene, Ludacris, Vince Vaughn",,,,,
,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6 Underground,2019,89,Action Thriller,BON,Phile,Phobe,Phile,37%,93,60%,2.5k +,97%,23%,$150 Mil,Netflix,NF,,,,,,Michael Bay,,,,,,,,"Magnet Scene, 3's movie references, Ryan Reynolds accent, Michael Bay",,,,,
22,Gigli,2003,89,Romantic Comedy,Z,Phile,Phobe,Phobe,6%,187,13%,25k +,19%,7%,$54 Mil,$7.2 Mil,$,,,,,,Dykeasaurus Rex Speech,Bartha making it to the Baywatch,Dykeasaurus Rex Speech,Al Pacino as Starkman,Ben Affleck as Larry Gigli,Justin Bartha as Brian,Manosphere,#6,"Christopher Walken Pie monologue, Al Pacino, Ben Affleck, Martin Brest",,,,,
23,Theodore Rex,1995,89,Buddy Cop Science Fiction Family,BON,Phobe,Phobe,Phobe,0%,5,19%,2.5k +,19%,19%,$33.5 Mil,Straight to VHS,BOOT,,,,,,Ohhhhhh Teddy,Guy in the Bag scene,"Racist Costume Changer (Nordic Opera, Mexican, Hawaiian, Scottish)",Armin Mueller-Stahl as Elizar Kane,Whoopie Goldberg as Katie Coltrane,The Guy in the Bag,T Rexsposition,#12 original GD Horny for Cookies / Dirty Mack,"Whoopi, Jonathan Beteul, Armin Mueller-Stahl, Tony T Johnson (child actor), disguise scene",,,,,
24,Jade,1995,89,Erotic Thriller,M,Phobe,Phile,Phile,14%,29,27%,5k +,41%,13%,$50 Mil,$9.8 Mil,$,,,,,,Car T Bone,The Governor,The Governor,,,,,,"The Governor (Richard Crenna), Caruso, Eszterhas, Friedkin",,,,,
25,Gotti,2018,89,Biographical Crime,A,Phile,Phile,Phobe,0%,58,45%,5k +,45%,45%,$10 Mil,$6.4 Mil,PRIME,,,,,,Gotti fistbite in the hospital after his kid dies,,Gotti slapping the shit out of Johnny Boy and his friend,Leo Rossi as Bobby Boriello (aka Squints),Spencer Rocco Lo Franco as John Gotti Jr.,John Travolta as John Gotti,Timeline,#21,"Travolta, E from Entourage, Travolta’s fake old man testicle chin, Spencer Rocco Lofranco, The Gottis",,,,,
26,The Fanatic,2019,89,Psychological Thriller,Z,Phile,Phile,Phobe,16%,68,29%,250+,45%,13%,$18 Mil,"$3,153",PRIME,,,,,,Moose brushing his tongue with Hunter's toothbrush,When the maid picks up the envelope - NOOOO! Don't read it!,Moose is in the house - Great Balls of Fire,John Travolta as Moose,Ana Golja as Leah,Bobby British Accent,Pretty Pretty Transitions,#15,"John Travolta, Fred Durst, Black Security Guard, Antlers Scene",,,,,
27,Wild Wild West,1999,90,Steampunk Western Comedy,M,Phile,Phile,Phile,17%,131,28%,250k +,45%,11%,$170 Mil,$222.1 Mil,HBO,,,,,,Roast Battle,Titty Bongos,Branagh,,,,,,"Jon Peters (spider producer), Will Smith, Kenneth Branagh, Kevin Kline, Salma Hayek, the six writers",,,,,
28,Problem Child,1990,90,Black Comedy,A,Phobe,Phile,Phobe,0%,29,42%,50k +,42%,42%,$10 Mil,$72.2 Mil,STZ,,,,,,John Ritter,John Ritter,Lucy Henderson,,,,,,,,,,,
29,Double Impact,1991,90,Action,Z,Phile,Phile,Phile,35%,20,42%,25k +,77%,7%,$16 Mil,$30.1 Mil,PRIME,,,,,,Bolo Yeung snapping necks and punching dicks,,,Geoffrey Lewis as Uncle Frank,Alonna Shaw as Danielle Wilde,Alonna Shaw British?,Cigars,#24,,,,,,
AF,The Departed,2006,90,American Crime,BON,Phile,Phile,Phile,90%,282,94%,250k +,,4%,$90 Mil,$291.4 Mil,$,9/10,,,,,Leonardo,,,,,,,,"Mark Wahlberg, Alec Baldwin, Jack Nicholson, Kevin Corrigan",,,,,
30,Spenser Confidential,2020,90,Action Comedy,M,Phobe,Phobe,Phile,37%,83,52%,1k +,89%,15%,???,Netflix,NF,3/10,,,,,Iliza Shlesinger,Bald Fat White Bostonians,Iliza Shlesinger,,,,,,,,,,,
31,Hall Pass,2011,90,Comedy,A,Phile,Phile,Phile,33%,177,40%,50k +,73%,7%,$36 Mil,$86.1 Mil,HBO,1/10,,,,,Stephen Merchant,,,,,,,,,,,,,
32,Primal,2019,90,Action Thriller,Z,Phile,Phobe,Phobe,36%,44,23%,100 +,59%,-13%,$31 Mil,"$84,630",$,,,,,,Scuddy & Jerome,,,,,,,,,,,,,
33,Scary Movie 3,2003,90,Science Fiction Horror Comedy,M,Phobe,Phobe,Phobe,35%,131,54%,250k +,89%,19%,$48 Mil,$220.6 Mil,HBO,,,,,,Cody,Ja Rule,Eddie Griffin,,,,,,,,,,,
34,Coffee & Kareem,2020,90,Action Comedy,A,Phile,Phile,Phobe,20%,70,30%,250 +,50%,10%,???,Netflix,NF,,,,,,Betty Gilpin,Ed Helms,Betty Gilpin,,,,,,,,,,,
35,Cop Out,2010,90,Buddy-Cop Action Comedy,Z,Phile,Phobe,Phobe,19%,163,39%,250k +,58%,20%,$30 Mil,$55.6 Mil,NF,2/10,,,,,Monocle Wearin Mothafucka,Tracy Morgan,Susie,,,,,,,,,,,
36,Ballistic: Ecks vs Sever,2002,90,Action Thriller,M,Phobe,Phile,Phile,0%,118,19%,10k +,19%,19%,$70 Mil,$20.1 Mil,BOOT,,,,,,Horny eurotrash bald man in the alley,,,,,,,,,,,,,
37,Teen Wolf Too,1987,90,Fantasy Comedy,BON,Phile,Phile,Phile,7%,15,18%,5k +,25%,11%,$3 Mil,$7.8 Mil,PRIME,,,,,,Horniness,Montages,Dean Pimp,,,,,,,,,,,
38,Teen Witch,1989,91,Teen Fantasy Comedy,A,Phobe,Phile,Phobe,44%,9,74%,10k +,118%,30%,$2.5 Mil,"$27,843",HBO,,,,,,Steve Gettinitberg,Where are all the chairs?,Top That,Jared Chandler as David,Robyn Lively as Louise Miller,Zelda Rubenstein as Madame Serena,Background,#14,,,,,,
39,I Am Wrath,2016,91,Action Thriller,Z,Phile,Phobe,Phobe,11%,9,33%,1k +,44%,22%,$18 Mil,"$228,631",NF,,,,,,Tattoo,Chris Meloni fall down stairs,Paul Sloan,,,,,,,,,,,
40,Along Came Polly,2004,91,Romantic Comedy,M,Phile,Phile,Phile,27%,163,47%,250k +,74%,20%,$42 Mil,$178.3 Mil,HBO,8/10,,,,,Spanking is Offensive (PSH),Story of the Hippo (HA),Philip Seymour Hoffman,,,,,,,,,,,
41,Tango & Cash,1989,91,Buddy-Cop Action Comedy,A,Phile,Phile,Phile,30%,47,52%,50k +,82%,22%,$54 Mil,$63.4 Mil / $120.4 Mil,ENC,,,StuGotz,Phile,,"Palance watching the highlight reel. He waltzes in and takes my drugs, then he tangos out again",Tango & Cash arriving at prison,Stallone being a cop that somehow dresses and acts like a stockbroker,Jack Palances as Yves Perret,Uncle Frank's hairpiece,Brion James as Requin,Banter,#5,,,,,,
42,Ghostrider,2007,91,Superhero,Z,Phile,Phobe,Phile,26%,141,48%,250k +,74%,22%,$110 Mil,$228.7 Mil,NF,,,,,,Nic Cage,Becoming a vigilante,A flaming skull whistling,,,,,,,,,,,
43,The Adventures of Pluto Nash,2002,91,Science Fiction Action Comedy,M,Phobe,Phobe,Phile,4%,89,19%,25k +,23%,15%,$100 Mil,$7.1 Mil,$,,,,,,Michael Challenger,What's Plan B?,Alec Baldwin shoving a photographer,,,,,,,,,,,
44,A Million Ways to Die in the West,2014,91,Western Comedy,A,Phobe,Phile,Phobe,33%,211,41%,50k +,74%,8%,$40 Mil,$87.1 Mil,Hulu/FX,,,,,,NPH Practically Chinese,NPH,Giovani Ribisi’s hip gyration,,,,,,,,,,,
45,Catwoman,2004,92,Superhero ,Z,Phile,Phobe,Phobe,9%,198,18%,250k +,27%,9%,$100 Mil,$82.1 Mil,$,5/10,,,,,Basketball Scene,Sharon Stone (gun toss / fake cry),Handwriting Expert,,,,,,,,,,,
46,Takers,2010,92,Action Thriller,M,Phobe,Phile,Phile,28%,115,62%,100k +,90%,34%,$32 Mil,$80.2 Mil,PRIME,,,,,,Idris Elba shooting the moon,"Chris Brown in the subway, eating ice cream, sees a girl and says 'mmm'",Hayden Christensen's tiny fedora,T.I. as Ghost,Hayden Christensen as AJ,Hayden Christensen Marlon Brando,Hats,#17,,,,,,
47,Movie 43,2013,92,Anthology Comedy,A,Phobe,Phobe,Phobe,4%,89,24%,25k +,28%,20%,$6 Mil,$32.4 Mil,PRIME,,,,,,Jason Sudeikis as Bat Douche,,,,,,,,,,,,,
48,After Earth,2013,92,Post-Apocalyptic Action,Z,Phile,Phobe,Phobe,11%,211,36%,100k +,47%,25%,$130 Mil,$243.8 Mil,$,,,,,,Pile of Dead Monkeys,Bingo Power,The Accents,,,,,,,,,,,
49,Wet Hot American Summer,2001,92,Satirical Comedy,M,Phobe,Phobe,Phile,38%,76,75%,25k +,113%,37%,$5 Mil,"$295,206",STZ,,,,,,Jewish parents phone joke,Can of Vegetables,Paul Rudd,,,,,,,,,,,
50,The Break-Up,2006,92,Romantic Comedy Drama,A,Phile,Phile,Phile,34%,194,46%,250k +,80%,12%,$52 Mil,$205.7 Mil,$,8/10,,,,,Family Dinner Acapella,Favreau untraceable scene,Vaughn & Favreau banter,Cole Hauser as Lupus Grobowski,Geoff Stults as Mike,,,,,,,,,
51,Mom and Dad,2017,92,Horror Comedy,Z,Phile,Phobe,Phile,75%,136,39%,1k +,114%,-36%,$4 Mil,"$169,209",Hulu,,,,,,Pool Table Monologue (NC),Titty Donuts,"Ass to Ass, Dildo to Ass, Hi Brent! Anal Beads",Nicolas Cage as Brent,Samantha Lemole as Jenna,,,,,,,,,
52,The Lawnmower Man,1992,92,Science Fiction Action Horror,M,Phile,Phobe,Phile,35%,40,31%,25k +,66%,-4%,$10 Mil,$32.1 Mil,SHOW,,,,,,Chimp's Death,Lieutenant Exposition,Dippin Dotsing,Jeff Fahey as Jobe Smith,Dean Norris as The Director,,,#4,,,,,,
53,R.I.P.D.,2013,92,Science Fiction Action Comedy,A,Phobe,Phile,Phobe,13%,104,38%,50k +,51%,25%,$154 Mil,$78.3 Mil,$,,,,,,Kevin Bacon’s secret Boston accent,James Hong w/. banana,Jeff Bridges,James Hong as Nick's Avatar,Jeff Bridges as Roycephus Pulsipher,,,,,,,,,
54,Grown Ups 2,2013,92,Comedy,Z,Phobe,Phobe,Phobe,8%,115,53%,100k +,61%,45%,$80 Mil,$247 Mil,$,0/10,,,,,Kevin James weight,Stick Figure Drawing,Bumpty Fluzoo,Dan Patrick as Gym Teacher,Nick Swardson as Nick,,,,,,,,,
55,Johnny Be Good,1988,92,Comedy,M,Phile,Phile,Phile,0%,15,30%,5k +,30%,30%,$22 Mil,$17.5 Mil,$,,,,,,3 on 3 Football Game - FDS,Ol Tex' Party - Little Person Chips & Guac,"We're new in town, and we've never had sex before",RDJ as Leo Wiggins,Denise Thorsen as Eunice Elkans,Poon Tang and Fu Yang,Crecaine,#18,,,,,,
56,Deuce Bigalow European Gigolo,2005,93,Sex Comedy,A,Phobe,Phobe,Phobe,9%,100,33%,100k +,42%,24%,$22 Mil,$45.1 Mil,STZ,,,,,,Racism,Eddie Griffin Prison Monologue,Fake Dolphin Face,Norm MacDonal as Earl McManus,Rob Schneider as Deuce Bigalow,,,,,,,,,
